,Bybit_ask,Bybit_bid,Bybit_tiker,Binance_ask,Binance_bid,Binance_tiker,Coinbase Pro_ask,Coinbase Pro_bid,Coinbase Pro_tiker,FTX_ask,FTX_bid,FTX_tiker
2022/2/8 19:50:26,0.259791879,0.740208121,43818.5,0.154623575,0.845376425,43831.99,0.6582862,0.3417138,43832.23,0.414101796,0.585898204,43838
2022/2/8 19:50:37,0.296031142,0.703968858,43818.5,0.340366948,0.659633052,43834.77,0.580566615,0.419433385,43832.23,0.523018973,0.476981027,43837
2022/2/8 19:50:45,0.146956522,0.853043478,43818.5,0.220802362,0.779197638,43836.58,0.595728919,0.404271081,43832.23,0.548201993,0.451798007,43837
2022/2/8 19:50:53,0.21082626,0.78917374,43818.5,0.584048253,0.415951747,43823.8,0.588219797,0.411780203,43828.39,0.364479169,0.635520831,43839
2022/2/8 19:51:01,0.40535266,0.59464734,43818.5,0.515065781,0.484934219,43825.47,0.466925783,0.533074217,43828.39,0.307918221,0.692081779,43839
2022/2/8 19:51:09,0.525371186,0.474628814,43818.5,0.219512254,0.780487746,43825.63,0.587114492,0.412885508,43829.19,0.422919523,0.577080477,43828
2022/2/8 19:51:17,0.860470006,0.139529994,43818.5,0.572466917,0.427533083,43812.96,0.449572726,0.550427274,43800.97,0.639795396,0.360204604,43817
2022/2/8 19:51:25,0.917219443,0.082780557,43818,0.318024031,0.681975969,43809.96,0.426124954,0.573875046,43805.04,0.628019869,0.371980131,43814
2022/2/8 19:51:33,0.26369372,0.73630628,43785,0.634392243,0.365607757,43796.5,0.648931626,0.351068374,43801.59,0.246650657,0.753349343,43809
2022/2/8 19:51:41,0.290827384,0.709172616,43785,0.80846829,0.19153171,43795.14,0.662231417,0.337768583,43801.59,0.512183431,0.487816569,43809
2022/2/8 19:51:49,0.293062126,0.706937874,43785.5,0.705061435,0.294938565,43795.14,0.662745346,0.337254654,43801.59,0.385667142,0.614332858,43809
2022/2/8 19:51:57,0.047553709,0.952446291,43794.5,0.462201267,0.537798733,43809.07,0.473523386,0.526476614,43801.59,0.428441577,0.571558423,43809
2022/2/8 19:52:05,0.207910814,0.792089186,43795,0.759796585,0.240203415,43801.69,0.486509651,0.513490349,43805.21,0.231036411,0.768963589,43809
2022/2/8 19:52:13,0.254298734,0.745701266,43794.5,0.404584978,0.595415022,43802.5,0.781990157,0.218009843,43805.21,0.530703465,0.469296535,43808
2022/2/8 19:52:21,0.20236107,0.79763893,43795,0.774023415,0.225976585,43803.08,0.570448405,0.429551595,43805.21,0.521534479,0.478465521,43808
2022/2/8 19:52:30,0.23689782,0.76310218,43794.5,0.702964007,0.297035993,43798.15,0.39373299,0.60626701,43794.83,0.359162934,0.640837066,43802
2022/2/8 19:52:38,0.359409026,0.640590974,43794.5,0.675289152,0.324710848,43802.96,0.644617833,0.355382167,43794.83,0.325014813,0.674985187,43803
2022/2/8 19:52:48,0.312170518,0.687829482,43795,0.743288496,0.256711504,43802.96,0.49266858,0.50733142,43798.1,0.453710739,0.546289261,43804
2022/2/8 19:52:56,0.38443627,0.61556373,43795,0.525652997,0.474347003,43800.34,0.490519881,0.509480119,43798.1,0.563435454,0.436564546,43805
2022/2/8 19:53:05,0.1902236,0.8097764,43795,0.42671741,0.57328259,43805.97,0.544981201,0.455018799,43798.1,0.454871168,0.545128832,43805
2022/2/8 19:53:13,0.082293808,0.917706192,43795,0.199152665,0.800847335,43819.87,0.514456571,0.485543429,43798.1,0.419233281,0.580766719,43823
2022/2/8 19:53:21,0.592827946,0.407172054,43829,0.155096241,0.844903759,43835.63,0.660672667,0.339327333,43826.75,0.628952051,0.371047949,43832
2022/2/8 19:53:29,0.281141465,0.718858535,43828.5,0.325262379,0.674737621,43841.25,0.72719228,0.27280772,43826.75,0.432134413,0.567865587,43840
2022/2/8 19:53:37,0.27183009,0.72816991,43829,0.697143564,0.302856436,43836.58,0.480630631,0.519369369,43826.25,0.671298809,0.328701191,43839
2022/2/8 19:53:45,0.212823864,0.787176136,43828.5,0.278872909,0.721127091,43843.26,0.590596595,0.409403405,43826.25,0.267586711,0.732413289,43846
2022/2/8 19:53:53,0.39601103,0.60398897,43841.5,0.842620417,0.157379583,43849.99,0.547710516,0.452289484,43826.25,0.411430688,0.588569312,43852
2022/2/8 19:54:01,0.309439306,0.690560694,43841.5,0.715971464,0.284028536,43849.99,0.691890481,0.308109519,43826.25,0.495276357,0.504723643,43851
2022/2/8 19:54:10,0.235432003,0.764567997,43841.5,0.395343105,0.604656895,43849.99,0.594069901,0.405930099,43826.25,0.263208305,0.736791695,43853
2022/2/8 19:54:18,0.132999608,0.867000392,43841,0.186009673,0.813990327,43859.45,0.582468684,0.417531316,43826.25,0.263827004,0.736172996,43864
2022/2/8 19:54:26,0.043239081,0.956760919,43855,0.105820778,0.894179222,43879,0.547010017,0.452989983,43874.14,0.338029735,0.661970265,43888
2022/2/8 19:54:34,0.476132761,0.523867239,43870,0.950484652,0.049515348,43869.89,0.622119831,0.377880169,43891.31,0.196306807,0.803693193,43870
2022/2/8 19:54:42,0.577590056,0.422409944,43870,0.082699238,0.917300762,43876.01,0.559291329,0.440708671,43891.31,0.454142797,0.545857203,43870
2022/2/8 19:54:50,0.530039273,0.469960727,43869.5,0.087104203,0.912895797,43876.01,0.483829164,0.516170836,43891.31,0.280298806,0.719701194,43870
2022/2/8 19:54:58,0.367154935,0.632845065,43869.5,0.539528062,0.460471938,43879.62,0.524806189,0.475193811,43891.31,0.301345707,0.698654293,43878
2022/2/8 19:55:07,0.506136973,0.493863027,43870,0.531000341,0.468999659,43874,0.396153544,0.603846456,43891.31,0.626760197,0.373239803,43877
2022/2/8 19:55:15,0.924991233,0.075008767,43870,0.446028959,0.553971041,43863.29,0.519995189,0.480004811,43891.31,0.451230395,0.548769605,43864
2022/2/8 19:55:24,0.956409086,0.043590914,43869.5,0.617946781,0.382053219,43862.2,0.584264719,0.415735281,43891.31,0.464080021,0.535919979,43864
2022/2/8 19:55:32,0.074166868,0.925833132,43870,0.424664371,0.575335629,43889.81,0.883913502,0.116086498,43886.29,0.437604246,0.562395754,43896
2022/2/8 19:55:41,0.109995553,0.890004447,43879,0.898586528,0.101413472,43899.99,0.789369451,0.210630549,43897.22,0.517105884,0.482894116,43899
2022/2/8 19:55:49,0.077486948,0.922513052,43900,0.605370739,0.394629261,43910.63,0.612020835,0.387979165,43906.19,0.584744582,0.415255418,43919
2022/2/8 19:55:57,0.386910915,0.613089085,43899.5,0.319889919,0.680110081,43901.15,0.591953148,0.408046852,43891.25,0.693474374,0.306525626,43906
2022/2/8 19:56:05,0.829735893,0.170264107,43886,0.668798333,0.331201667,43884.84,0.458630577,0.541369423,43888.57,0.327840117,0.672159883,43906
2022/2/8 19:56:13,0.806397427,0.193602573,43886.5,0.295789217,0.704210783,43884.84,0.497449448,0.502550552,43885.67,0.225775911,0.774224089,43892
2022/2/8 19:56:22,0.740147918,0.259852082,43886.5,0.676385484,0.323614516,43885.3,0.556519329,0.443480671,43879.47,0.372774018,0.627225982,43892
2022/2/8 19:56:30,0.204861536,0.795138464,43886.5,0.121643479,0.878356521,43899.38,0.716536766,0.283463234,43879.47,0.669557579,0.330442421,43892
2022/2/8 19:56:38,0.363067278,0.636932722,43886.5,0.743551669,0.256448331,43887.82,0.52369544,0.47630456,43883.16,0.523084638,0.476915362,43900
2022/2/8 19:56:46,0.365854347,0.634145653,43886,0.447974296,0.552025704,43892.57,0.672492646,0.327507354,43883.16,0.591180572,0.408819428,43895
2022/2/8 19:56:54,0.108778454,0.891221546,43886.5,0.493760547,0.506239453,43905.47,0.611783062,0.388216938,43883.16,0.725633496,0.274366504,43906
2022/2/8 19:57:02,0.110039918,0.889960082,43886.5,0.405090969,0.594909031,43903.65,0.635219885,0.364780115,43904.77,0.260649001,0.739350999,43907
2022/2/8 19:57:10,0.019454029,0.980545971,43900,0.379363232,0.620636768,43920.97,0.607061553,0.392938447,43904.77,0.237106315,0.762893685,43922
2022/2/8 19:57:18,0.025736518,0.974263482,43911,0.715102556,0.284897444,43921.23,0.536615325,0.463384675,43932.36,0.31137447,0.68862553,43930
2022/2/8 19:57:27,0.08960711,0.91039289,43916,0.010913775,0.989086225,43933.04,0.568086192,0.431913808,43925.59,0.431837891,0.568162109,43937
2022/2/8 19:57:35,0.327498707,0.672501293,43916,0.66727212,0.33272788,43918.76,0.546511443,0.453488557,43929.17,0.200777568,0.799222432,43935
2022/2/8 19:57:43,0.732288281,0.267711719,43916.5,0.881077293,0.118922707,43908.22,0.467368423,0.532631577,43911.5,0.383266957,0.616733043,43915
2022/2/8 19:57:51,0.558143944,0.441856056,43916.5,0.425096405,0.574903595,43921.61,0.572159717,0.427840283,43911.5,0.511549394,0.488450606,43912
2022/2/8 19:58:00,0.545447231,0.454552769,43916,0.417125113,0.582874887,43918.26,0.524658341,0.475341659,43911.5,0.631779859,0.368220141,43912
2022/2/8 19:58:09,0.648049446,0.351950554,43916.5,0.367808908,0.632191092,43910.77,0.487805121,0.512194879,43911.5,0.714188198,0.285811802,43921
2022/2/8 19:58:17,0.722986559,0.277013441,43916.5,0.404496039,0.595503961,43909.75,0.551716032,0.448283968,43911.5,0.469728839,0.530271161,43914
2022/2/8 19:58:25,0.767329907,0.232670093,43900,0.645971971,0.354028029,43895.31,0.57197229,0.42802771,43895.53,0.584538983,0.415461017,43894
2022/2/8 19:58:34,0.769228194,0.230771806,43900,0.607935356,0.392064644,43903.38,0.58444452,0.41555548,43895.53,0.654530563,0.345469437,43895
2022/2/8 19:58:41,0.297432999,0.702567001,43900,0.447299541,0.552700459,43909.74,0.481880094,0.518119906,43906.38,0.57829423,0.42170577,43902
2022/2/8 19:58:49,0.128451539,0.871548461,43900.5,0.209308207,0.790691793,43896.51,0.549799649,0.450200351,43904.34,0.414702415,0.585297585,43917
2022/2/8 19:58:58,0.031164155,0.968835845,43904,0.574263428,0.425736572,43909.48,0.741282298,0.258717702,43910.22,0.376978042,0.623021958,43927
2022/2/8 19:59:06,0.611055486,0.388944514,43903.5,0.954773228,0.045226772,43846.41,0.362295527,0.637704473,43827.45,0.739418855,0.260581145,43820
2022/2/8 19:59:15,0.135604655,0.864395345,43863,0.743859372,0.256140628,43878.9,0.418350732,0.581649268,43864.57,0.086492749,0.913507251,43879
2022/2/8 19:59:23,0.354480206,0.645519794,43862.5,0.829600442,0.170399558,43866.35,0.461073822,0.538926178,43878.91,0.147266395,0.852733605,43872
2022/2/8 19:59:31,0.567745844,0.432254156,43850,0.311151109,0.688848891,43853.47,0.487141327,0.512858673,43878.91,0.210655998,0.789344002,43860
2022/2/8 19:59:40,0.461772321,0.538227679,43850.5,0.51149248,0.48850752,43857.89,0.418972007,0.581027993,43878.91,0.528661453,0.471338547,43856
2022/2/8 19:59:48,0.296874665,0.703125335,43850.5,0.855746616,0.144253384,43869.29,0.63367768,0.36632232,43861.6,0.54179095,0.45820905,43862
2022/2/8 19:59:56,0.243388462,0.756611538,43850,0.758942973,0.241057027,43869.32,0.487937328,0.512062672,43861.6,0.629228423,0.370771577,43869
2022/2/8 20:00:04,0.193466502,0.806533498,43850,0.338474572,0.661525428,43872.97,0.515895716,0.484104284,43861.6,0.628915089,0.371084911,43873
2022/2/8 20:00:12,0.500892694,0.499107306,43854,0.493261433,0.506738567,43856.67,0.452629879,0.547370121,43855.66,0.44507463,0.55492537,43856
2022/2/8 20:00:20,0.42993594,0.57006406,43854,0.794681722,0.205318278,43864.16,0.462432698,0.537567302,43855.66,0.215492406,0.784507594,43856
2022/2/8 20:00:28,0.287656894,0.712343106,43854,0.439560387,0.560439613,43862.42,0.505592484,0.494407516,43855.66,0.611849494,0.388150506,43866
2022/2/8 20:00:37,0.328266994,0.671733006,43854,0.639356033,0.360643967,43869.62,0.505592484,0.494407516,43855.66,0.439587285,0.560412715,43866
2022/2/8 20:00:45,0.284281336,0.715718664,43854,0.728192661,0.271807339,43870.88,0.461641565,0.538358435,43855.66,0.472860756,0.527139244,43875
2022/2/8 20:00:54,0.150474456,0.849525544,43854,0.326927521,0.673072479,43878.63,0.523401306,0.476598694,43865.6,0.305019571,0.694980429,43892
2022/2/8 20:01:04,0.113892279,0.886107721,43876.5,0.856524877,0.143475123,43902.2,0.477991656,0.522008344,43890.8,0.321180261,0.678819739,43903
2022/2/8 20:01:12,0.075454399,0.924545601,43884.5,0.540370883,0.459629117,43907.3,0.524392148,0.475607852,43890.8,0.3521139,0.6478861,43904
2022/2/8 20:01:20,0.477879649,0.522120351,43904.5,0.643570275,0.356429725,43912.78,0.480938989,0.519061011,43890.8,0.585146258,0.414853742,43915
2022/2/8 20:01:28,0.611246392,0.388753608,44006,0.426181539,0.573818461,44016.93,0.417007857,0.582992143,44012.54,0.532255243,0.467744757,44020
2022/2/8 20:01:37,0.52981172,0.47018828,44005.5,0.345219344,0.654780656,44032.86,0.441445451,0.558554549,44032.92,0.424494949,0.575505051,44038
2022/2/8 20:01:45,0.948881587,0.051118413,44017.5,0.446350143,0.553649857,44013.2,0.578635339,0.421364661,44010.56,0.619753204,0.380246796,44016
2022/2/8 20:01:54,0.210496715,0.789503285,44000,0.743262242,0.256737758,44014.53,0.49576443,0.50423557,44024.36,0.442903752,0.557096248,44019
2022/2/8 20:02:02,0.33383795,0.66616205,44000.5,0.230314065,0.769685935,44007.97,0.520314092,0.479685908,44015.13,0.410158926,0.589841074,44012
2022/2/8 20:02:11,0.012376418,0.987623582,44017,0.45735497,0.54264503,44039.91,0.489087356,0.510912644,44015.13,0.18059528,0.81940472,44046
2022/2/8 20:02:20,0.46627437,0.53372563,44044,0.476748193,0.523251807,44049.85,0.459942616,0.540057384,44015.13,0.251342903,0.748657097,44052
2022/2/8 20:02:28,0.91137261,0.08862739,44043.5,0.848242384,0.151757616,44030.02,0.354480527,0.645519473,44048.62,0.721334294,0.278665706,44039
2022/2/8 20:02:36,0.975991629,0.024008371,44018,0.854878955,0.145121045,44011.67,0.50474254,0.49525746,44029.1,0.751448506,0.248551494,44023
2022/2/8 20:02:44,0.895111885,0.104888115,44013,0.827024399,0.172975601,44004.87,0.318491746,0.681508254,44029.1,0.687163425,0.312836575,44014
2022/2/8 20:02:52,0.821742182,0.178257818,43985.5,0.564013933,0.435986067,43979.88,0.42918638,0.57081362,43981.43,0.518450913,0.481549087,43986
2022/2/8 20:03:00,0.991424701,0.008575299,43970.5,0.647985152,0.352014848,43958.82,0.304412282,0.695587718,43981.43,0.723766172,0.276233828,43969
2022/2/8 20:03:07,0.973186665,0.026813335,43960,0.910877021,0.089122979,43954.11,0.452509149,0.547490851,43981.43,0.75486295,0.24513705,43960
2022/2/8 20:03:16,0.946411866,0.053588134,43950,0.45975725,0.54024275,43935.06,0.415382937,0.584617063,43981.43,0.713299606,0.286700394,43949
