buy,sell,exchange,tiker,time
0.3468741862468201,0.6531258137531799,FTX,40614.0,2022-02-05 06:57:09
0.006649811978159725,0.9933501880218403,Bybit,40592.5,2022-02-05 06:57:09
0.45801492678739636,0.5419850732126036,Binance,40593.15,2022-02-05 06:57:09
0.33745907252406265,0.6625409274759373,Coinbase Pro,40614.52,2022-02-05 06:57:09
0.35897469075099636,0.6410253092490037,FTX,40597.0,2022-02-05 06:57:09
0.8239682516395005,0.1760317483604994,Bybit,40592.0,2022-02-05 06:57:09
0.1638602822858719,0.8361397177141281,Binance,40604.86,2022-02-05 06:57:09
0.5245199467374089,0.4754800532625911,Coinbase Pro,40597.17,2022-02-05 06:57:09
0.36330158106648336,0.6366984189335166,FTX,40604.0,2022-02-05 06:57:09
0.7253554846198491,0.27464451538015094,Bybit,40590.5,2022-02-05 06:57:09
